sm: 44, warp_id: 1, block (0, 6, 2), thread (0, 0, 1), mem start: 160, mem time: 192
sm: 44, warp_id: 0, block (0, 6, 2), thread (0, 0, 0), mem start: 160, mem time: 352
sm: 44, warp_id: 2, block (0, 6, 2), thread (0, 0, 2), mem start: 160, mem time: 192
sm: 44, warp_id: 3, block (0, 6, 2), thread (0, 0, 3), mem start: 192, mem time: 160
sm: 46, warp_id: 2, block (0, 7, 2), thread (0, 0, 2), mem start: 64, mem time: 160
sm: 46, warp_id: 3, block (0, 7, 2), thread (0, 0, 3), mem start: 64, mem time: 160
sm: 46, warp_id: 0, block (0, 7, 2), thread (0, 0, 0), mem start: 32, mem time: 352
sm: 46, warp_id: 1, block (0, 7, 2), thread (0, 0, 1), mem start: 64, mem time: 160
sm: 48, warp_id: 1, block (0, 0, 3), thread (0, 0, 1), mem start: 0, mem time: 192
sm: 48, warp_id: 0, block (0, 0, 3), thread (0, 0, 0), mem start: 0, mem time: 352
sm: 48, warp_id: 2, block (0, 0, 3), thread (0, 0, 2), mem start: 32, mem time: 160
sm: 48, warp_id: 3, block (0, 0, 3), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 50, warp_id: 2, block (0, 1, 3), thread (0, 0, 2), mem start: 192, mem time: 160
sm: 50, warp_id: 1, block (0, 1, 3), thread (0, 0, 1), mem start: 160, mem time: 192
sm: 50, warp_id: 3, block (0, 1, 3), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 50, warp_id: 0, block (0, 1, 3), thread (0, 0, 0), mem start: 160, mem time: 352
sm: 52, warp_id: 3, block (0, 2, 3), thread (0, 0, 3), mem start: 32, mem time: 128
sm: 52, warp_id: 2, block (0, 2, 3), thread (0, 0, 2), mem start: 0, mem time: 160
sm: 52, warp_id: 0, block (0, 2, 3), thread (0, 0, 0), mem start: 0, mem time: 320
sm: 52, warp_id: 1, block (0, 2, 3), thread (0, 0, 1), mem start: 0, mem time: 160
sm: 54, warp_id: 1, block (0, 3, 3), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 54, warp_id: 0, block (0, 3, 3), thread (0, 0, 0), mem start: 160, mem time: 352
sm: 54, warp_id: 2, block (0, 3, 3), thread (0, 0, 2), mem start: 192, mem time: 160
sm: 54, warp_id: 3, block (0, 3, 3), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 56, warp_id: 2, block (0, 4, 3), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 56, warp_id: 1, block (0, 4, 3), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 56, warp_id: 3, block (0, 4, 3), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 56, warp_id: 0, block (0, 4, 3), thread (0, 0, 0), mem start: 192, mem time: 352
sm: 58, warp_id: 2, block (0, 5, 3), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 58, warp_id: 3, block (0, 5, 3), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 58, warp_id: 0, block (0, 5, 3), thread (0, 0, 0), mem start: 192, mem time: 352
sm: 58, warp_id: 1, block (0, 5, 3), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 60, warp_id: 1, block (0, 6, 3), thread (0, 0, 1), mem start: 96, mem time: 160
sm: 60, warp_id: 2, block (0, 6, 3), thread (0, 0, 2), mem start: 96, mem time: 160
sm: 60, warp_id: 3, block (0, 6, 3), thread (0, 0, 3), mem start: 128, mem time: 128
sm: 60, warp_id: 0, block (0, 6, 3), thread (0, 0, 0), mem start: 64, mem time: 352
sm: 62, warp_id: 1, block (0, 7, 3), thread (0, 0, 1), mem start: 32, mem time: 160
sm: 62, warp_id: 2, block (0, 7, 3), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 62, warp_id: 3, block (0, 7, 3), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 62, warp_id: 0, block (0, 7, 3), thread (0, 0, 0), mem start: 32, mem time: 320
sm: 64, warp_id: 2, block (0, 0, 4), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 64, warp_id: 1, block (0, 0, 4), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 64, warp_id: 3, block (0, 0, 4), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 64, warp_id: 0, block (0, 0, 4), thread (0, 0, 0), mem start: 192, mem time: 320
sm: 66, warp_id: 0, block (0, 1, 4), thread (0, 0, 0), mem start: 0, mem time: 320
sm: 66, warp_id: 3, block (0, 1, 4), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 66, warp_id: 2, block (0, 1, 4), thread (0, 0, 2), mem start: 32, mem time: 128
sm: 66, warp_id: 1, block (0, 1, 4), thread (0, 0, 1), mem start: 32, mem time: 128
sm: 68, warp_id: 2, block (0, 2, 4), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 68, warp_id: 3, block (0, 2, 4), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 68, warp_id: 1, block (0, 2, 4), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 68, warp_id: 0, block (0, 2, 4), thread (0, 0, 0), mem start: 192, mem time: 320
sm: 70, warp_id: 2, block (0, 3, 4), thread (0, 0, 2), mem start: 224, mem time: 160
sm: 70, warp_id: 1, block (0, 3, 4), thread (0, 0, 1), mem start: 224, mem time: 160
sm: 70, warp_id: 3, block (0, 3, 4), thread (0, 0, 3), mem start: 256, mem time: 128
sm: 70, warp_id: 0, block (0, 3, 4), thread (0, 0, 0), mem start: 224, mem time: 352
sm: 72, warp_id: 1, block (0, 4, 4), thread (0, 0, 1), mem start: 224, mem time: 160
sm: 72, warp_id: 0, block (0, 4, 4), thread (0, 0, 0), mem start: 192, mem time: 384
sm: 72, warp_id: 2, block (0, 4, 4), thread (0, 0, 2), mem start: 224, mem time: 160
sm: 72, warp_id: 3, block (0, 4, 4), thread (0, 0, 3), mem start: 224, mem time: 160
sm: 74, warp_id: 2, block (0, 5, 4), thread (0, 0, 2), mem start: 128, mem time: 160
sm: 74, warp_id: 3, block (0, 5, 4), thread (0, 0, 3), mem start: 128, mem time: 160
sm: 74, warp_id: 0, block (0, 5, 4), thread (0, 0, 0), mem start: 96, mem time: 352
sm: 74, warp_id: 1, block (0, 5, 4), thread (0, 0, 1), mem start: 96, mem time: 192
sm: 76, warp_id: 1, block (0, 6, 4), thread (0, 0, 1), mem start: 64, mem time: 160
sm: 76, warp_id: 0, block (0, 6, 4), thread (0, 0, 0), mem start: 32, mem time: 384
sm: 76, warp_id: 2, block (0, 6, 4), thread (0, 0, 2), mem start: 64, mem time: 160
sm: 76, warp_id: 3, block (0, 6, 4), thread (0, 0, 3), mem start: 64, mem time: 160
sm: 78, warp_id: 2, block (0, 7, 4), thread (0, 0, 2), mem start: 224, mem time: 160
sm: 78, warp_id: 3, block (0, 7, 4), thread (0, 0, 3), mem start: 224, mem time: 160
sm: 78, warp_id: 0, block (0, 7, 4), thread (0, 0, 0), mem start: 192, mem time: 384
sm: 78, warp_id: 1, block (0, 7, 4), thread (0, 0, 1), mem start: 224, mem time: 160
sm: 80, warp_id: 2, block (0, 0, 5), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 80, warp_id: 1, block (0, 0, 5), thread (0, 0, 1), mem start: 32, mem time: 160
sm: 80, warp_id: 0, block (0, 0, 5), thread (0, 0, 0), mem start: 32, mem time: 320
sm: 80, warp_id: 3, block (0, 0, 5), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 82, warp_id: 2, block (0, 1, 5), thread (0, 0, 2), mem start: 192, mem time: 128
sm: 82, warp_id: 3, block (0, 1, 5), thread (0, 0, 3), mem start: 192, mem time: 128
sm: 82, warp_id: 0, block (0, 1, 5), thread (0, 0, 0), mem start: 160, mem time: 288
sm: 82, warp_id: 1, block (0, 1, 5), thread (0, 0, 1), mem start: 160, mem time: 160
sm: 84, warp_id: 3, block (0, 2, 5), thread (0, 0, 3), mem start: 192, mem time: 160
sm: 84, warp_id: 0, block (0, 2, 5), thread (0, 0, 0), mem start: 160, mem time: 320
sm: 84, warp_id: 1, block (0, 2, 5), thread (0, 0, 1), mem start: 160, mem time: 160
sm: 84, warp_id: 2, block (0, 2, 5), thread (0, 0, 2), mem start: 160, mem time: 192
sm: 86, warp_id: 1, block (0, 3, 5), thread (0, 0, 1), mem start: 160, mem time: 160
sm: 86, warp_id: 2, block (0, 3, 5), thread (0, 0, 2), mem start: 160, mem time: 160
sm: 86, warp_id: 3, block (0, 3, 5), thread (0, 0, 3), mem start: 192, mem time: 128
sm: 86, warp_id: 0, block (0, 3, 5), thread (0, 0, 0), mem start: 160, mem time: 320
sm: 88, warp_id: 3, block (0, 4, 5), thread (0, 0, 3), mem start: 64, mem time: 160
sm: 88, warp_id: 2, block (0, 4, 5), thread (0, 0, 2), mem start: 64, mem time: 160
sm: 88, warp_id: 1, block (0, 4, 5), thread (0, 0, 1), mem start: 64, mem time: 160
sm: 88, warp_id: 0, block (0, 4, 5), thread (0, 0, 0), mem start: 32, mem time: 352
sm: 90, warp_id: 0, block (0, 5, 5), thread (0, 0, 0), mem start: 0, mem time: 352
sm: 90, warp_id: 1, block (0, 5, 5), thread (0, 0, 1), mem start: 0, mem time: 160
sm: 90, warp_id: 2, block (0, 5, 5), thread (0, 0, 2), mem start: 32, mem time: 128
sm: 90, warp_id: 3, block (0, 5, 5), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 92, warp_id: 0, block (0, 6, 5), thread (0, 0, 0), mem start: 160, mem time: 320
sm: 92, warp_id: 1, block (0, 6, 5), thread (0, 0, 1), mem start: 160, mem time: 160
sm: 92, warp_id: 2, block (0, 6, 5), thread (0, 0, 2), mem start: 192, mem time: 128
sm: 92, warp_id: 3, block (0, 6, 5), thread (0, 0, 3), mem start: 224, mem time: 96
sm: 94, warp_id: 1, block (0, 7, 5), thread (0, 0, 1), mem start: 0, mem time: 160
sm: 94, warp_id: 2, block (0, 7, 5), thread (0, 0, 2), mem start: 32, mem time: 128
sm: 94, warp_id: 3, block (0, 7, 5), thread (0, 0, 3), mem start: 32, mem time: 128
sm: 94, warp_id: 0, block (0, 7, 5), thread (0, 0, 0), mem start: 0, mem time: 320
sm: 96, warp_id: 2, block (0, 0, 6), thread (0, 0, 2), mem start: 192, mem time: 128
sm: 96, warp_id: 3, block (0, 0, 6), thread (0, 0, 3), mem start: 224, mem time: 96
sm: 96, warp_id: 0, block (0, 0, 6), thread (0, 0, 0), mem start: 160, mem time: 320
sm: 96, warp_id: 1, block (0, 0, 6), thread (0, 0, 1), mem start: 192, mem time: 128
sm: 98, warp_id: 2, block (0, 1, 6), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 98, warp_id: 1, block (0, 1, 6), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 98, warp_id: 3, block (0, 1, 6), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 98, warp_id: 0, block (0, 1, 6), thread (0, 0, 0), mem start: 192, mem time: 352
sm: 100, warp_id: 1, block (0, 2, 6), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 100, warp_id: 2, block (0, 2, 6), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 100, warp_id: 3, block (0, 2, 6), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 100, warp_id: 0, block (0, 2, 6), thread (0, 0, 0), mem start: 192, mem time: 320
sm: 102, warp_id: 3, block (0, 3, 6), thread (0, 0, 3), mem start: 128, mem time: 128
sm: 102, warp_id: 2, block (0, 3, 6), thread (0, 0, 2), mem start: 96, mem time: 160
sm: 102, warp_id: 1, block (0, 3, 6), thread (0, 0, 1), mem start: 96, mem time: 160
sm: 102, warp_id: 0, block (0, 3, 6), thread (0, 0, 0), mem start: 64, mem time: 352
sm: 104, warp_id: 3, block (0, 4, 6), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 104, warp_id: 2, block (0, 4, 6), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 104, warp_id: 1, block (0, 4, 6), thread (0, 0, 1), mem start: 32, mem time: 160
sm: 104, warp_id: 0, block (0, 4, 6), thread (0, 0, 0), mem start: 32, mem time: 320
sm: 106, warp_id: 1, block (0, 5, 6), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 106, warp_id: 2, block (0, 5, 6), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 106, warp_id: 3, block (0, 5, 6), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 106, warp_id: 0, block (0, 5, 6), thread (0, 0, 0), mem start: 192, mem time: 320
